NameWithOwner,Data Criação,Total de estrelas,Linguagem,Nº de Watchers,Nº de Forks,Nº de Releases
naver/pinpoint,2014-10-20T09:27:22Z,10805,Java,3190,779,41
arduino/Arduino,2010-09-17T19:10:36Z,10703,Java,5709,1028,31
JessYanCoding/AndroidAutoSize,2018-08-17T09:04:19Z,10634,Java,1527,201,14
google/tink,2014-06-06T16:21:09Z,10622,Java,817,375,17
android-async-http/android-async-http,2011-02-20T03:25:07Z,10579,Java,4124,797,3
android-hacker/VirtualXposed,2017-12-01T09:00:58Z,10547,Java,1820,482,47
alibaba/vlayout,2017-02-27T08:11:47Z,10540,Java,1764,346,34
TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,10450,Java,1419,426,86
youth5201314/banner,2016-04-22T05:50:25Z,10443,Java,2052,222,0
lipangit/JiaoZiVideoPlayer,2016-02-06T11:04:24Z,10237,Java,2352,324,78
JakeWharton/ViewPagerIndicator,2011-08-04T17:13:44Z,10213,Java,3929,698,0
Yalantis/uCrop,2016-01-05T13:41:06Z,10188,Java,1723,258,12
jeasonlzy/okhttp-OkGo,2016-01-15T10:35:24Z,10138,Java,2414,395,14
H07000223/FlycoTabLayout,2015-11-09T01:53:19Z,10022,Java,2110,232,4
lingochamp/FileDownloader,2015-12-22T11:17:16Z,9817,Java,1977,323,65
JessYanCoding/MVPArms,2016-08-06T08:49:56Z,9801,Java,2335,343,25
google/guice,2014-05-28T23:18:53Z,9686,Java,1375,583,11
xetorthio/jedis,2010-06-11T13:04:43Z,9368,Java,3269,731,37
81813780/AVLoadingIndicatorView,2015-10-24T20:18:33Z,9350,Java,1789,267,1
aosp-mirror/platform_frameworks_base,2008-10-21T18:20:37Z,9340,Java,5267,907,0
LuckSiege/PictureSelector,2017-01-04T07:47:39Z,9321,Java,1986,184,90
sqshq/piggymetrics,2015-03-29T17:56:31Z,9304,Java,4177,808,2
